ID,Fecha de Muestreo,Códigos de Localidad,Cuerpo de Agua,Clave de sitio de muestreo,Punto de muestreo,Uso del Agua,Coordenadas (X),Coordenadas (Y),Temperatura (°C),pH,Oxigeno Disuelto (mg/L),Conductividad elecrica (mS/cm),Solidos Disueltos Totales SDT (mg/L),Nitratos (mg/L),Nitritos (mg/L),Fosfato (mg/L),Fósforo (mg/L),Dureza Total (mg/L),Cloro Total (mg/L),Cloro Libre (mg/L),Coeficiente de Absorscion Espectral,Turbidez (UNT),DQO    (mg/L),DBO5      (mg/L),Observaciones
080225CASB HUM0002,2025-02-08,CASB ,Agua Residual,HUM,Influente,Cuerpo de agua,20.40647,-103.035946,21.7,7.3,0.75,1120,805.0,-0.06,0.12,2.83,0.71,220.0,0.17,0.14,0.675,562,698.0,154.0,
080225CASB HUM0003,2025-02-08,CASB ,Agua Residual,HUM,Efluente,Cuerpo de agua,20.40647,-103.035946,18.7,7.1,2.54,1000,734.0,-0.06,0.05,2.65,0.88,305.0,0.14,0.09,0.102,126,84.0,42.0,
220225OJOA LAG0004,2025-02-22,OJOA ,Chapala,LAG,Superficial,Cuerpo de agua,20.3302,-103.059301,21.8,8.4,6.37,960,693.0,0.24,0.05,0.03,0.24,137.5,4.14,0.72,0.669,331,663.0,13.6,
220225OJOA LAG0005,2025-02-22,OJOA ,Chapala,LAG,Superficial,Cuerpo de agua,20.3302,-103.059301,21.7,8.4,6.37,960,692.0,0.19,0.01,0.02,0.27,137.5,3.54,1.67,0.659,266,663.0,27.6,
080325JUA HUM0006,2025-03-08,JUA ,RÍo Santiago,HUM,Influente,Agua de riego,20.500714,-103.175691,12.8,7.5,0.7,1360,1132.0,0.08,0.06,2.0,0.67,487.5,5.19,4.16,0.043,118,55.0,20.9,
080325JUA HUM0007,2025-03-08,JUA ,RÍo Santiago,HUM,Efluente,Agua de riego,20.500714,-103.175691,14.2,7.1,0.7,1480,1168.0,0.04,0.05,1.66,0.55,437.5,3.56,4.38,0.043,105,50.0,1.4,
080325JUA HUM0008,2025-03-08,JUA ,RÍo Santiago,HUM,Efluente,Agua de riego,20.500714,-103.175691,18.5,7.4,0.8,1490,1096.0,0.15,-0.01,1.34,0.45,425.0,3.51,5.34,0.044,97,36.0,2.6,
080325JUA LAG0009,2025-03-08,JUA ,RÍo Santiago,LAG,Superficial,Cuerpo de agua,20.49997,-103.182191,22.2,7.3,1.35,1400,1023.0,0.03,0.08,1.89,0.64,456.5,3.04,4.28,0.106,79,97.0,37.6,
250225SAL CAS0010,2025-02-25,SAL ,RÍo Santiago,CAS,Superficial,Cuerpo de agua,20.512606,-103.173425,19.4,5.7,0.57,1139,569.0,0.03,0.08,1.82,0.61,152.2,3.18,5.06,0.225,78,188.0,0.2,
250225SAL PTAR0011,2025-02-25,SAL ,El Ahogado,PTAR,Efluente,Cuerpo de agua,20.511625,-103.253862,22.3,7.1,6.78,1113,554.0,-0.04,0.04,2.22,0.0,213.7,0.77,0.63,0.087,1892,74.0,47.1,
290325JUA HUM0012,2025-03-29,JUA ,RÍo Santiago,HUM,Influente,Agua de riego,20.500714,103.175691,14.6,7.6,0.3,1060,907.0,0.08,0.06,1.77,0.59,195.0,3.17,5.08,0.051,149,55.0,23.7,
290325JUA HUM0013,2025-03-29,JUA ,RÍo Santiago,HUM,EfJuncos,Agua de riego,20.500714,103.175691,15.5,7.6,0.86,1070,970.0,0.14,0.18,1.65,0.46,205.9,3.06,4.43,0.071,349,52.0,18.6,
290325JUA HUM0014,2025-03-29,JUA ,RÍo Santiago,HUM,Efluente,Agua de riego,20.500714,103.175691,17.3,7.8,1.55,1080,806.0,0.13,0.05,1.61,0.54,190.0,2.97,4.29,0.058,143,45.0,6.2,
110625OJOA FIL0015,2025-06-11,OJOA ,Chapala,FIL,Influente,Cuerpo de agua,20.3302,-103.059301,27.5,6.23,6.13,914,455.0,0.19,0.08,0.61,0.2,120.0,4.1,4.58,0.027,343,28.0,16.1,
110625OJOA FIL0016,2025-06-11,OJOA ,Chapala,FIL,Ef Zeolita,Cuerpo de agua,20.3302,-103.059301,26.1,6.02,4.15,808,416.0,-0.03,0.01,0.08,0.03,105.0,1.35,1.39,0.011,16,18.0,18.0,
110625OJOA FIL0017,2025-06-11,OJOA ,Chapala,FIL,Ef Jal,Agua de riego,20.3302,-103.059301,27.5,6.07,1.98,918,457.0,0.0,-0.03,0.06,0.02,120.0,0.87,0.96,0.018,1,18.0,12.0,
110625OJOA HUM0018,2025-06-11,OJOA ,Agua Residual,HUM,Influente,Cuerpo de agua,20.3302,-103.059301,31.0,6.1,0.5,699,348.0,0.19,0.03,3.74,1.25,65.0,0.06,0.06,0.363,1162,336.0,104.0,"La temperatura registrada es demasiado alta, verificar el sensor usado"
110625OJOA HUM0019,2025-06-11,OJOA ,Agua Residual,HUM,Efluente,Cuerpo de agua,20.3302,-103.059301,30.0,5.8,2.77,1278,635.0,0.07,0.09,6.62,2.21,87.5,0.19,0.09,0.46,1268,470.0,110.0,"La temperatura registrada es demasiado alta, verificar el sensor usado"
110625CASB PURI0020,2025-06-11,CASB ,Purificada,PURI,Efluente,Agua potable,20.3302,-103.059301,27.1,6.58,6.96,374,13.0,4.56,0.07,0.17,0.09,8.1,0.89,0.72,0.011,0,11.0,2.5,
110625CASB HUM0021,2025-06-11,CASB ,Agua Residual,HUM,Influente,Cuerpo de agua,20.40647,-103.035946,26.0,6.96,0.87,822,416.0,0.04,0.02,3.32,1.11,70.0,0.09,0.09,0.385,541,407.0,109.0,
110625CASB HUM0022,2025-06-11,CASB ,Agua Residual,HUM,Efluente,Cuerpo de agua,20.40647,-103.035946,25.9,7.01,2.64,812,405.0,0.08,0.01,2.88,0.96,85.0,0.21,0.14,0.093,468,80.0,37.0,
300625JUA HUM0023,2025-06-30,JUA ,RÍo Santiago,HUM,Influente,Agua de riego,20.500714,-103.175691,26.7,5.79,0.36,192,96.0,0.08,0.05,2.65,0.88,55.0,2.81,4.38,0.349,121,330.0,10.0,
300625JUA HUM0024,2025-06-30,JUA ,RÍo Santiago,HUM,Efluente,Agua de riego,20.500714,-103.175691,29.9,5.67,1.49,247,123.0,0.04,0.06,2.13,0.71,100.0,3.12,4.37,0.037,1175,32.0,3.0,
300625CAN PURI0025,2025-06-30,CAN ,Purificada,PURI,Efluente,Agua potable,20.376802,-103.260641,31.0,5.77,8.43,378,10.0,2.34,0.05,0.26,0.09,52.6,1.27,0.98,0.01,0,5.0,1.8,
300625CAN PURI0026,2025-06-30,CAN ,Pozo,PURI,Influente,Agua potable,20.376802,-103.260641,24.8,5.6,6.69,345,172.0,4.9,0.01,0.04,0.02,27.8,1.15,1.04,0.01,68,11.0,2.5,
300625CAN PURI0027,2025-06-30,CAN ,Pozo,PURI,Influente,Agua potable,20.376802,-103.260641,25.0,5.51,7.4,377,190.0,2.59,0.01,0.08,0.06,20.0,0.75,0.51,0.013,68,14.0,2.6,
300825CASB HUM0028,2025-08-30,CASB ,Agua Residual,HUM,Influente,Cuerpo de agua,20.40647,-103.035946,30.9,6.24,1.85,295,148.0,-0.03,0.01,2.56,0.85,60.0,0.23,0.05,0.159,387,164.0,120.2,dilucion por agua de lluvia
300825CASB HUM0029,2025-08-30,CASB ,Agua Residual,HUM,Ef Sedim,Cuerpo de agua,20.40647,-103.035946,29.8,6.3,1.63,285,143.0,0.04,0.06,2.55,0.85,65.0,0.15,0.1,0.228,543,166.0,70.3,
300825CASB HUM0030,2025-08-30,CASB ,Agua Residual,HUM,Efluente,Cuerpo de agua,20.40647,-103.035946,21.7,6.15,4.8,271,138.0,0.08,0.01,2.98,0.56,70.0,0.11,0.11,0.038,370,36.0,24.0,
300825OJOA HUM0031,2025-08-30,OJOA ,Agua Residual,HUM,Influente,Cuerpo de agua,20.3302,-103.059301,24.9,6.71,1.12,783,391.0,0.05,-0.02,2.42,0.81,80.0,0.22,0.09,0.36,579,312.0,85.4,
300825OJOA HUM0032,2025-08-30,OJOA ,Agua Residual,HUM,Ef Sedim,Cuerpo de agua,20.3302,-103.059301,24.9,6.46,1.39,693,348.0,0.03,0.1,4.25,1.73,80.0,0.13,0.07,0.178,1768,219.0,105.1,
300825OJOA HUM0033,2025-08-30,OJOA ,Agua Residual,HUM,Efluente,Cuerpo de agua,20.3302,-103.059301,24.0,6.58,3.3,655,325.0,-0.06,0.06,2.06,0.69,90.0,0.14,0.05,0.021,358,20.0,10.8,
010925CASB HUM0034,2025-09-01,CASB ,Agua Residual,HUM,Influente,Cuerpo de agua,20.40647,-103.035946,29.5,6.9,0.87,267,133.0,0.03,-0.01,3.06,1.02,43.0,0.1,0.08,0.171,1658,146.0,23.0,"Revisar estos datos de conductividad en hojas de cadena de custodia, porbablemtne conversión o captura incorrecta de unidades"
010925CASB HUM0035,2025-09-01,CASB ,Agua Residual,HUM,Ef Sedim,Cuerpo de agua,20.40647,-103.035946,29.9,7.24,0.15,251,123.0,-0.03,0.17,2.87,1.22,80.0,0.02,0.02,0.156,1405,135.0,26.0,"Revisar estos datos de conductividad en hojas de cadena de custodia, porbablemtne conversión o captura incorrecta de unidades"
010925CASB HUM0036,2025-09-01,CASB ,Agua Residual,HUM,Efluente,Cuerpo de agua,20.40647,-103.035946,29.9,7.36,2.99,269,134.0,0.19,0.11,2.71,0.9,319.8,0.14,0.06,0.032,430,28.0,18.0,"Revisar estos datos de conductividad en hojas de cadena de custodia, porbablemtne conversión o captura incorrecta de unidades"
010925OJOA HUM0037,2025-09-01,OJOA ,Agua Residual,HUM,Influente,Cuerpo de agua,20.3302,-103.059301,30.5,6.97,0.78,721,359.0,0.2,0.05,2.45,0.82,51.5,0.08,0.08,0.322,4917,306.0,85.0,"Revisar estos datos de conductividad, porbablemtne conversión o captura incorrecta de unidades"
010925OJOA HUM0038,2025-09-01,OJOA ,Agua Residual,HUM,Ef Sedim,Cuerpo de agua,20.3302,-103.059301,30.1,7.26,0.66,733,365.0,0.22,0.11,7.17,1.07,81.5,0.17,0.03,0.224,2029,212.0,43.0,"Revisar estos datos de conductividad en hojas de cadena de custodia, porbablemtne conversión o captura incorrecta de unidades"
010925OJOA HUM0039,2025-09-01,OJOA ,Agua Residual,HUM,Efluente,Cuerpo de agua,20.3302,-103.059301,29.8,7.17,2.05,663,329.0,0.17,0.1,1.99,0.66,306.7,0.22,0.07,0.016,426,19.0,10.9,
010925CASB PURI0040,2025-09-01,CASB ,Pipa,PURI,Efluente,Agua potable,20.40647,-103.035946,27.9,7.21,7.48,340,22.0,3.07,0.02,0.22,0.05,30.8,1.19,0.97,0.01,0,4.0,3.1,
220925OJOA FIL0041,2025-09-22,OJOA ,Chapala,FIL,Influente,Cuerpo de agua,20.3302,-103.059301,24.7,6.19,5.92,838,417.0,0.2,0.08,0.75,0.25,119.8,1.11,1.86,0.154,295,143.0,4.0,
220925OJOA FIL0042,2025-09-22,OJOA ,Chapala,FIL,Ef Arena,Agua de riego,20.3302,-103.059301,23.5,6.08,4.4,870,433.0,0.01,0.07,0.42,0.14,130.0,4.6,0.76,0.01,18,0.0,0.0,
220925OJOA FIL0043,2025-09-22,OJOA ,Chapala,FIL,Ef Zeolita,Agua de riego,20.3302,-103.059301,25.4,6.03,4.01,701,349.0,-0.04,0.01,0.76,0.25,104.6,3.33,2.32,0.022,10,19.0,17.0,
220925OJOA FIL0044,2025-09-22,OJOA ,Chapala,FIL,Ef Jal,Agua de riego,20.3302,-103.059301,24.2,5.81,2.03,818,407.0,0.0,-0.04,0.62,0.21,122.4,0.85,0.52,0.021,37,19.0,12.0,
290925CAN PURI0045,2025-09-29,CAN ,Purificada,PURI,Efluente,Agua potable,20.376802,-103.260641,27.9,6.54,8.12,347,12.0,1.95,0.04,0.17,0.02,49.7,1.04,0.84,0.011,0,9.0,1.7,
101125JUA HUM0046,2025-11-10,JUA ,RÍo Santiago,HUM,Influente,Cuerpo de agua,20.500714,-103.175691,17.0,7.1,0.45,1296,741.0,0.08,0.05,1.43,0.48,46.0,2.37,5.18,0.194,443,166.0,21.0,
101125JUA HUM0047,2025-11-10,JUA ,RÍo Santiago,HUM,Efluente,Agua de riego,20.500714,-103.175691,18.9,7.1,0.45,1585,710.0,0.0,0.05,1.25,0.42,414.4,3.31,5.27,0.128,356,119.0,6.0,
101125CAN PURI0048,2025-11-10,CAN ,Purificada,PURI,Efluente,Agua potable,20.376802,-103.260641,22.9,6.6,7.8,385,0.006,3.33,0.05,0.07,0.09,60.0,0.92,0.79,0.01,0,2.0,0.9,Sólo análisis en campo
240126PINPRES0049,2026-01-24,PIN,Agua Residual,PRES,Efluente,Cuerpo de agua,20.576699,-103.330742,17.0,7.0,2.7,1240,752.0,0.06,0.01,3.09,1.3,160.9,0.09,0.03,0.186,388,158.0,92.7,Sólo análisis en campo
240126PINPRES0050,2026-01-24,PIN,Las Pintas,PRES,Efluente,Cuerpo de agua,20.576724,-103.330783,17.5,6.9,1.15,1116,720.0,-0.07,0.07,3.6,1.41,66.1,2.32,2.19,0.052,524,53.0,23.8,Sólo análisis en campo
240126SAL PTAR0051,2026-01-24,SAL ,El Ahogado,PTAR,Efluente,Cuerpo de agua,20.511621,-103.253952,22.8,7.2,9.02,1210,755.0,0.0,0.03,6.23,1.04,266.8,1.3,1.19,0.077,0,76.0,37.4,Sólo análisis en campo
240126SAL HUMNAT0052,2026-01-24,SAL ,El Ahogado,HUMNAT,Superficial,Cuerpo de agua,20.511594,-103.253521,20.7,7.8,0.93,1470,940.0,0.03,0.07,2.27,0.95,135.2,2.39,2.0,0.076,168,73.0,15.2,Sólo análisis en campo
240126SAL CAS0053,2026-01-24,SAL ,RÍo Santiago,CAS,Superficial,Cuerpo de agua,20.512606,-103.173425,19.3,7.0,1.2,1160,710.0,0.03,0.09,1.82,0.6,188.6,3.25,4.63,0.078,76,79.0,0.9,Sólo análisis en campo
070226OJOA HUM0054,2026-02-07,OJOA ,Agua Residual,HUM,Influente,Cuerpo de agua,20.3302,-103.059301,19.9,8.0,1.05,2050,1387.0,0.0,0.1,6.02,1.27,58.1,0.0,0.0,1.213,5986,1030.0,155.7,Tambien se tomaron datos para VUO
070226OJOA HUM0055,2026-02-07,OJOA ,Agua Residual,HUM,Ef Sedim,Cuerpo de agua,20.3302,-103.059301,20.6,7.1,0.26,1450,927.0,-0.06,0.2,2.6,0.9,81.9,0.23,0.08,0.362,1483,373.0,191.4,Tambien se tomaron datos para VUO
070226OJOA HUM0056,2026-02-07,OJOA ,Agua Residual,HUM,Efluente,Cuerpo de agua,20.3302,-103.059301,18.5,7.5,2.37,1330,861.0,0.25,0.09,2.92,1.45,100.2,0.17,0.14,0.216,324,179.0,73.2,Tambien se tomaron datos para VUO
070226CASB HUM0057,2026-02-07,CASB ,Agua Residual,HUM,Influente,Cuerpo de agua,20.40647,-103.035946,24.3,7.0,0.34,740,449.0,-0.06,0.0,2.55,0.87,24.6,0.18,0.02,0.33,2054,329.0,97.8,Tambien se tomaron datos para VUO
090226OJOA HUM0058,2026-02-09,OJOA ,Agua Residual,HUM,Influente,Cuerpo de agua,20.3302,-103.059301,29.6,8.1,0.87,2280,1574.0,0.19,0.04,5.17,1.72,96.8,0.14,0.09,0.871,4957,785.0,159.0,"Emulsión presente, alto contenido de grasas y/o aceites, detergentes también. Muestras con olor sumamente fuerte, ¿anaerobiosis?? o tiempos de retencion muy altos/ O deplano no sólo es descarga de agua residual doméstica!!!"
090226OJOA HUM0059,2026-02-09,OJOA ,Agua Residual,HUM,Ef Sedim,Cuerpo de agua,20.3302,-103.059301,26.6,7.1,1.21,1570,1017.0,-0.05,0.04,4.03,1.34,77.1,0.11,0.11,0.82,1752,766.0,168.0,Muestras con olor sumamente fuerte
090226OJOA HUM0060,2026-02-09,OJOA ,Agua Residual,HUM,Efluente,Cuerpo de agua,20.3302,-103.059301,28.4,7.8,2.94,1420,921.0,0.22,0.04,3.53,1.18,56.5,0.23,0.14,0.216,281,233.0,12.0,Salida con alto contenido orgánico. Verificar composicion de entrada
090226CASB HUM0061,2026-02-09,CASB ,Agua Residual,HUM,Ef Sedim,Cuerpo de agua,20.40647,-103.035946,30.5,7.2,0.49,780,467.0,0.2,0.19,3.14,1.05,82.0,0.11,0.02,0.271,1675,259.0,121.0,
090226CASB HUM0062,2026-02-09,CASB ,Agua Residual,HUM,Efluente,Cuerpo de agua,20.40647,-103.035946,31.0,6.8,4.63,820,485.0,-0.03,0.1,2.73,0.91,148.0,0.25,0.13,0.032,526,29.0,2.0,
090226CASB PURI0063,2026-02-09,CASB ,Purificada,PURI,Efluente,Agua potable,20.40647,-103.035946,30.8,5.97,6.59,346,0.0,3.44,0.03,0.2,0.06,59.8,0.74,0.41,0.019,0,18.0,2.6,
160226JUA HUM0064,2026-02-16,JUA ,RÍo Santiago,HUM,Influente,Agua de riego,20.500714,-103.175691,17.0,7.6,0.75,1170,733.0,0.08,0.05,1.62,0.54,508.5,3.55,4.07,0.159,283,180.0,21.0,Se guardaron muestras acidificadas para determianr metales
160226JUA HUM0065,2026-02-16,JUA ,RÍo Santiago,HUM,Efluente,Agua de riego,20.500714,-103.175691,21.6,7.3,0.69,1180,735.0,0.09,0.0,1.74,0.58,469.5,3.36,5.17,0.166,103,131.0,3.0,Se guardaron muestras acidificadas para determianr metales
160226CAN PURI0066,2026-02-16,CAN ,Purificada,PURI,Efluente,Agua potable,20.376802,-103.260641,32.5,6.57,6.64,343,8.0,4.36,0.06,0.22,0.04,35.5,0.92,0.84,0.01,0,4.0,1.4,
090326CASB HUM0067,2026-03-09,CASB ,Agua Residual,HUM,Influente,Cuerpo de agua,20.40647,-103.035946,27.3,6.8,1.09,1183,589.0,0.19,0.0,2.71,0.9,33.2,0.1,0.1,0.256,1806,269.0,108.0,
090326CASB HUM0068,2026-03-09,CASB ,Agua Residual,HUM,Efluente,Cuerpo de agua,20.40647,-103.035946,26.4,7.0,2.28,1069,533.0,-0.04,0.0,1.75,0.58,127.4,0.23,0.07,0.327,1116,261.0,89.0,"La salida se encontraba tapada, el agua se estancó, no hay reduccion significativa en el dQO, DBO, el color de la muestra indica crecimiento de alga o material biologico, se determino el coeficiente de abs espectral"
090326OJOA HUM0069,2026-03-09,OJOA ,Agua Residual,HUM,Influente,Cuerpo de agua,20.3302,-103.059301,22.8,6.7,1.09,1077,727.0,0.0,0.12,3.78,1.26,51.2,0.12,0.12,1.107,1954,982.0,161.0,"Sigue presentando coloración que sugiere emulsion/Olor muy fuerte (""huevo"")"
090326OJOA HUM0070,2026-03-09,OJOA ,Agua Residual,HUM,Ef Sedim,Cuerpo de agua,20.3302,-103.059301,23.3,7.0,1.79,1965,1220.0,0.03,0.07,6.63,2.21,78.6,0.15,0.0,0.61,1491,679.0,169.0,
090326OJOA HUM0071,2026-03-09,OJOA ,Agua Residual,HUM,Efluente,Cuerpo de agua,20.3302,-103.059301,19.5,7.2,4.53,1716,1114.0,-0.01,0.05,4.84,1.61,146.6,0.23,0.04,0.207,579,225.0,20.0,
230326JUA HUM0072,2026-03-23,JUA ,RÍo Santiago,HUM,Influente,Agua de riego,20.500714,-103.175691,28.0,7.4,0.58,1527,760.0,0.07,0.12,2.53,0.84,471.2,5.02,5.22,0.099,1902,97.18177626,37.0,
230326JUA HUM0073,2026-03-23,JUA ,RÍo Santiago,HUM,Efluente,Agua de riego,20.500714,-103.175691,22.0,7.4,1.35,1545,799.0,0.03,0.05,3.19,1.06,370.2,3.32,4.2,0.059,139,53.80649624,21.4,
270426OJOA HUM0074,2026-04-27,OJOA ,Agua Residual,HUM,Influente,Cuerpo de agua,20.3302,-103.059301,29.5,7.1,1.32,1175,580.0,-0.04,0.11,6.28,2.09,51.4,0.13,0.13,0.977,1812,866.1071946,156.0,
270426OJOA HUM0075,2026-04-27,OJOA ,Agua Residual,HUM,Ef Sedim,Cuerpo de agua,20.3302,-103.059301,28.0,7.2,0.03,1459,815.0,0.04,0.1,5.39,1.8,58.5,0.11,0.08,0.506,1425,432.3543945,155.0,
270426OJOA HUM0076,2026-04-27,OJOA ,Agua Residual,HUM,Efluente,Cuerpo de agua,20.3302,-103.059301,25.5,7.2,4.45,1585,788.0,-0.07,0.05,2.54,0.85,86.5,0.22,0.08,0.267,445,239.1372381,21.0,
270426CASB HUM0077,2026-04-27,CASB ,Agua Residual,HUM,Influente,Cuerpo de agua,20.40647,-103.035946,33.5,7.0,0.71,1280,636.0,0.21,0.01,2.64,0.88,100.9,0.05,0.04,0.696,1823,570.3666491,98.0,
270426CASB HUM0078,2026-04-27,CASB ,Agua Residual,HUM,Efluente,Cuerpo de agua,20.40647,-103.035946,28.2,7.0,2.74,1280,685.0,0.05,0.0,1.62,0.54,120.4,0.08,0.06,0.272,1216,254.9100672,77.0,
